   0.913   0.605   0.000
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
   0.913   0.605   1.519
